x y phi
0.03 0.8999999999999999 2.1349164003129206
0.03 0.9299999999999999 2.183239425825374
0.03 0.96 2.2294078576102283
0.03 0.99 2.2733761329992936
0.03 1.02 2.315100860613115
0.03 1.05 2.3545408631830256
0.03 1.08 2.391657218188138
0.03 1.1099999999999999 2.4264132962671736
0.03 1.14 2.4587747973672216
0.03 1.17 2.4887097845937465
0.03 1.2 2.5161887157284504
0.03 1.23 2.541184472383877
0.03 1.26 2.5636723867659788
0.03 1.29 2.583630266018261
0.03 1.3199999999999998 2.601038414123445
0.03 1.3499999999999999 2.615879651341063
0.03 1.38 2.6281370309877943
0.03 1.41 2.637523908068037
0.03 1.44 2.632081281675876
0.03 1.47 2.380258913731784
0.03 1.5 0.09410831331851431
0.04 0.0 0.0
0.04 0.03 0.10628990453157576
0.04 0.06 0.23010654414398787
0.04 0.09 0.35765016249894577
0.04 0.12 0.4855382502775766
0.04 0.15 0.6130521317786894
0.04 0.18 0.7399750926659363
0.04 0.21 0.8661695201136914
0.04 0.24 0.9915093416254397
0.04 0.27 1.1158706846760362
0.04 0.3 1.2391308003097332
0.04 0.32999999999999996 1.3611680436668254
0.04 0.36 1.481861978521838
0.04 0.39 1.6010934945133866
0.04 0.42 1.71874492452839
0.04 0.44999999999999996 1.8347001608094886
0.04 0.48 1.9488447695379043
0.04 0.51 2.061066103765667
0.04 0.54 2.171253414584539
0.04 0.57 2.2792979604218173
0.04 0.6 2.385093114355137
0.04 0.63 2.4885344693403697
0.04 0.6599999999999999 2.5895199412487706
0.04 0.69 2.687949869611691
0.04 0.72 2.7837271159734254
0.04 0.75 2.876757159755141
0.04 0.78 2.966948191535279
0.04 0.8099999999999999 3.0542112036543676
0.04 0.84 3.138460078054838
0.04 0.87 3.2196116712691443
0.04 0.8999999999999999 3.297585896472336
0.04 0.9299999999999999 3.3723058025180794
0.04 0.96 3.443697649880151
0.04 0.99 3.5116909834244474
0.04 1.02 3.5762187019396934
0.04 1.05 3.6372171243582407
0.04 1.08 3.694626052601593
0.04 1.1099999999999999 3.7483888309886355
0.04 1.14 3.7984524021479604
0.04 1.17 3.8447673593790817
0.04 1.2 3.887287995410884
0.04 1.23 3.925972347509184
0.04 1.26 3.9607822388888767
0.04 1.29 3.991683316389821
0.04 1.3199999999999998 4.018645084379256
0.04 1.3499999999999999 4.04164093484731
0.04 1.38 4.060643574823471
0.04 1.41 4.07513188338715
0.04 1.44 4.064722784220685
0.04 1.47 3.6574124082189705
0.04 1.5 0.12533323356430426
0.05 0.0 0.0
0.05 0.03 0.14780624527108524
0.05 0.06 0.32141039629231116
0.05 0.09 0.5007603686275646
0.05 0.12 0.6807310202344576
0.05 0.15 0.8602047202327575
0.05 0.18 1.0388539385982634
0.05 0.21 1.2164810599607208
0.05 0.24 1.3929080341575633
0.05 0.27 1.5679604182401328
0.05 0.3 1.7414654191884271
0.05 0.32999999999999996 1.9132518044800069
0.05 0.36 2.083150041276116
0.05 0.39 2.250992460487645
0.05 0.42 2.416613421906699
0.05 0.44999999999999996 2.579849477639643
0.05 0.48 2.7405395334071607
0.05 0.51 2.8985250075245554
0.05 0.54 3.053649987402687
0.05 0.57 3.205761383414883
0.05 0.6 3.3547090799779102
0.05 0.63 3.500346083697935
0.05 0.6599999999999999 3.6425286684352542
0.05 0.69 3.781116517144644
0.05 0.72 3.915972860351342
0.05 0.75 4.046964611126005
0.05 0.78 4.173962496425445
0.05 0.8099999999999999 4.296841184669512
0.05 0.84 4.415479409428235
0.05 0.87 4.529760089097142
0.05 0.8999999999999999 4.639570442442671
0.05 0.9299999999999999 4.744802099903637
0.05 0.96 4.845351210538899
0.05 0.99 4.9411185445157
0.05 1.02 5.032009591037534
0.05 1.05 5.117934651614895
0.05 1.08 5.1988089285868515
0.05 1.1099999999999999 5.2745526088061006
0.05 1.14 5.345090942404912
0.05 1.17 5.41035431656422
0.05 1.2 5.470278324213071
0.05 1.23 5.52480382759063
0.05 1.26 5.573877016608006
0.05 1.29 5.617449461952318
0.05 1.3199999999999998 5.655478162880574
0.05 1.3499999999999999 5.687925589656222
0.05 1.38 5.714751940362442
0.05 1.41 5.735131544583723
0.05 1.44 5.718252094312829
